"Resid..Df","Resid..Dev","Df","Deviance","Pr..Chi.","model","control","id","predictor"
980,1000.3510665547,NA,NA,NA,"cutNo",0,"da","Random"
979,993.421871206439,1,6.92919534826501,0.00847998323554543,"cutNo",0,"da","Cut No"
978,993.262643927245,1,0.159227279193601,0.689868940489734,"cutNo",0,"da","Exp. Time"
977,992.49399490272,1,0.768649024524962,0.380635312121578,"cutNo",0,"da","Cut No:Time"
976,992.343001397854,1,0.150993504866847,0.697587731794304,"cutNo",0,"da","Cum. Effort."
975,959.587070678094,1,32.7559307197594,1.04487020173775e-08,"cutNo",0,"da","Seg. Size"
974,952.765185247347,1,6.82188543074722,0.00900474530370556,"cutNo",0,"da","Seg. Dist"
973,952.414883006745,1,0.350302240602559,0.553942088853495,"cutNo",0,"da","Int. Diff."
972,951.228213299492,1,1.18666970725235,0.276002346501966,"cutNo",0,"da","intOrder"
980,1000.3510665547,NA,NA,NA,"effort",0,"da","Random"
979,999.949467048785,1,0.401599505919421,0.52626435949387,"effort",0,"da","Cum. Effort"
978,999.765902149307,1,0.183564899477801,0.668327353939822,"effort",0,"da","Exp. Time"
977,999.179409812959,1,0.586492336347646,0.443778724960078,"effort",0,"da","Effort:Time"
976,992.515595464353,1,6.66381434860625,0.00983900931990389,"effort",0,"da","Cut No."
975,959.754941683946,1,32.760653780407,1.04233448762058e-08,"effort",0,"da","Seg. Size"
974,953.106914865327,1,6.64802681861943,0.00992656955935679,"effort",0,"da","Seg. Dist"
973,952.779705103758,1,0.327209761568838,0.567306719102167,"effort",0,"da","Int. Diff."
972,951.599256281726,1,1.18044882203128,0.277264643259421,"effort",0,"da","intOrder"
989,1286.22331352353,NA,NA,NA,"similarity",1,"da","Random"
988,1284.35547920792,1,1.86783431560912,0.171723324254109,"similarity",1,"da","Highest Similarity"
987,1283.16377136598,1,1.19170784194262,0.274985334848564,"similarity",1,"da","Exp. Time"
986,1255.56990793756,1,27.5938634284225,1.49652798869819e-07,"similarity",1,"da","Seg Dist."
985,1255.32415280315,1,0.245755134403453,0.620080006256409,"similarity",1,"da","Int. Diff."
984,1232.91213838038,1,22.4120144227707,2.19993536474134e-06,"similarity",1,"da","Seg. Size"
989,1286.22331352353,NA,NA,NA,"closeSeg",1,"da","Random"
988,1285.68289262754,1,0.540420895988973,0.462258345850791,"closeSeg",1,"da","Closest Segment"
987,1284.54322974455,1,1.13966288299434,0.285723573300249,"closeSeg",1,"da","Exp. Time"
986,1283.98393039595,1,0.559299348597051,0.454542683464314,"closeSeg",1,"da","Seg Dist."
985,1253.95961791304,1,30.024312482913,4.26663152848057e-08,"closeSeg",1,"da","Int. Diff."
984,1238.2855862059,1,15.674031707141,7.52502817724029e-05,"closeSeg",1,"da","Seg. Size"
